EmpID,Age_ID,AgeGroup_ID,Attrition_ID,BusinessTravel_ID,Department_ID,Education_ID,EducationField_ID,EnvironmentSatisfaction_ID,Gender_ID,JobInvolvement_ID,JobLevel_ID,JobRole_ID,JobSatisfaction_ID,MaritalStatus_ID,Over18_ID,OverTime_ID,PerformanceRating_ID,RelationshipSatisfaction_ID,StockOptionLevel_ID,WorkLifeBalance_ID,TotalWorkingYears_ID,TrainingTimesLastYear,YearsInCurrentRole_ID,YearsSinceLastPromotion_ID,YearsWithCurrManager_ID,DailyRate,DistanceFromHomeInKm,EmployeeCount,EmployeeNumber,HourlyRate,MonthlyIncome,SalarySlab,MonthlyRate,PercentSalaryHike,StandardHours,NumCompaniesWorked
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,230,4.8,1,405,54,1420,Upto 5k,25233,13,80,1
2,1,1,2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,812,16.1,1,411,69,1200,Upto 5k,9724,12,80,1
3,1,1,1,2,2,1,3,3,1,1,1,2,2,1,1,2,1,3,1,1,1,3,1,1,1,1306,8,1,614,69,1878,Upto 5k,8059,14,80,1
4,1,1,2,3,1,2,1,3,1,1,1,3,3,1,1,1,1,3,1,1,1,2,1,1,1,287,8,1,1012,73,1051,Upto 5k,13493,15,80,1
5,1,1,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,247,12.9,1,1156,80,1904,Upto 5k,13556,12,80,1
6,1,1,2,3,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,2,1,5,1,1,1,1124,1.6,1,1368,97,1611,Upto 5k,19305,15,80,1
7,1,1,1,2,2,2,2,3,2,1,1,2,3,1,1,2,1,1,1,2,1,2,1,1,1,544,4.8,1,1624,70,1569,Upto 5k,18420,12,80,1
8,1,1,2,3,1,1,2,3,2,1,1,3,1,1,1,1,1,1,1,3,1,4,1,1,1,1431,22.5,1,1839,33,1514,Upto 5k,8018,16,80,1
9,2,1,1,1,2,3,3,2,1,1,1,2,1,1,1,2,1,3,1,4,1,2,1,1,1,528,35.4,1,167,50,1675,Upto 5k,26820,19,80,1
10,2,1,2,1,1,3,2,3,2,1,1,1,2,1,1,1,1,3,1,1,1,3,1,1,1,1181,4.8,1,201,79,1483,Upto 5k,16102,14,80,1
11,2,1,1,2,2,3,4,1,2,3,1,2,4,1,1,1,2,2,1,2,1,5,1,1,1,602,1.6,1,235,100,2325,Upto 5k,20989,21,80,0
12,2,1,1,1,1,1,1,3,1,2,1,1,3,1,1,1,2,1,1,4,1,3,1,1,1,303,3.2,1,243,47,1102,Upto 5k,9241,22,80,1
13,2,1,1,1,3,2,4,4,1,2,1,4,3,1,1,1,1,1,1,2,1,3,1,1,1,489,3.2,1,566,52,2564,Upto 5k,18437,12,80,1
14,2,1,1,1,2,1,5,2,1,2,1,2,2,1,1,2,1,4,1,2,1,3,1,1,1,419,33.8,1,959,37,2121,Upto 5k,9947,13,80,1
15,2,1,2,1,1,2,1,1,1,1,1,3,4,1,1,1,2,1,1,1,1,4,1,1,1,645,14.5,1,1193,54,2552,Upto 5k,7172,25,80,1
16,2,1,1,3,1,1,2,4,2,2,1,3,2,1,1,2,2,4,1,2,1,2,1,1,1,504,16.1,1,1248,96,1859,Upto 5k,6148,25,80,1
17,2,1,2,1,1,1,1,3,2,4,1,3,3,1,1,2,1,3,1,1,1,2,1,1,1,265,40.2,1,1269,57,2994,Upto 5k,21221,12,80,1
18,3,1,1,2,1,1,1,2,2,2,1,1,3,1,1,2,1,4,1,1,1,5,1,1,1,871,9.7,1,137,66,2926,Upto 5k,19783,18,80,1
